;;;;mes;total;;;;;;;;;
;;;;jan;297;;;;;;;;;
;;;;fev;153,1;;;;;;;;;
;;;;mar;50,6;;;;;;;;;
;;;;abr;259,4;;;;;;;;;
;;;;mai;242;;;;;;;;;
;;;;jun;190,1;;;;;;;;;
;;;;jul;223;;;;;;;;;
;;;;ago;118,6;;;;;;;;;
;;;;set;5,8;;;;;;;;;
;;;;out;0;;;;;;;;;
;;;;nov;0;;;;;;;;;
;;;;dez;0;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
