Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
;Ha. Week;0;3,9;7,7;7,7;7,7;7,7;7,7;0;0;0;0;0;0;8,1;3,3;7;7;8,9;9,6;9,6;9,6;0;0;0;0;;;;;17;6,59;0,0;;;;;;;;;;;;;;EC;Estate Complete;;;;
;Ha. Todate;45,8;49,7;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;61,6;64,9;68,6;68,6;70,5;71,2;71,2;71,2;71,2;71,2;71,2;71,2;;;;;18;4,50;0,0;;;;;;;;;;;;;;;;;;;
Rake Canes;Ha. Day;0;3,9;3,8;0;0;0;0;0;0;0;0;0;0;8,1;3,3;3,7;0;1,9;0,7;0;0;0;0;0;0;;;;;19;2,17;0,0;;;;;;;;;;;;;;;;;;;
;Ha. Week;0;3,9;7,7;7,7;7,7;7,7;7,7;0;0;0;0;0;0;8,1;3,3;7;7;8,9;9,6;9,6;9,6;0;0;0;0;;;;;20;3,50;0,0;;;;;;;;;;;;;;;;;;;
;Ha. Todate;45,8;49,7;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;53,5;61,6;64,9;68,6;68,6;70,5;71,2;71,2;71,2;71,2;71,2;71,2;71,2;;;;;21;3,40;0,0;;;;;;;;;;;;;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;3,82;9,6;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;24;3,82;7,6;C;C;*;C;C;C;C;C;C;;;;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;27;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
Plough;Ha. Day;0;0;3,8;0;0;0;0;0;3,8;0;3,8;3,9;0;3,8;0;3,8;0;0;3,8;3,8;3,7;1,9;0;0;0;;;;;28;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;0;0;3,8;3,8;3,8;3,8;3,8;0;3,8;3,8;7,6;11,5;11,5;15,3;0;3,8;3,8;3,8;7,6;11,4;15,1;1,9;1,9;1,9;1,9;;;;;29;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;34,4;34,4;38,2;38,2;38,2;38,2;38,2;38,2;42;42;45,8;49,7;49,7;53,5;53,5;57,3;57,3;57,3;61,1;64,9;68,6;70,5;70,5;70,5;70,5;;;;;30;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
Drain Cut 10*32;Ha. Day;0;0;0;7,6;0;0;0;0;0;0;3,8;0;7,7;0;0;0;3,8;0;3,8;0;7,5;0;1,9;0;0;;;;;31;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;0;0;0;7,6;7,6;7,6;7,6;0;0;0;3,8;3,8;11,5;11,5;0;0;3,8;3,8;7,6;7,6;15,1;0;1,9;1,9;1,9;;;;;32;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;30,6;30,6;30,6;38,2;38,2;38,2;38,2;38,2;38,2;38,2;42;42;49,7;49,7;53,5;53,5;57,3;57,3;61,1;61,1;68,6;68,6;70,5;70,5;70,5;;;;;33;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
Harrow 1;Ha. Day;0;0;0;7,7;0;3,8;3,8;0;0;0;3,8;0;3,8;3,9;3,8;0;0;0;3,8;3,8;0;3,8;5,6;0;0;;;;;34;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;0;0;0;7,7;7,7;11,5;15,3;0;0;0;3,8;3,8;7,6;11,5;3,8;3,8;3,8;3,8;7,6;11,4;11,4;3,8;9,5;9,5;9,5;;;;;35;3,82;0,0;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;22,9;22,9;22,9;30,6;30,6;34,4;38,2;38,2;38,2;38,2;42;42;45,8;49,7;53,5;53,5;53,5;53,5;57,3;61,1;61,1;64,9;70,5;70,5;70,5;;;;;36;3,82;11,5;C;C;C;C;C;C;C;C;C;;;;;;;;;;
Harrow 2;Ha. Day;0;0;0;0;3,8;3,8;0;0;3,8;0;0;3,8;0;7,6;3,9;0;0;0;3,8;0;3,8;3,8;7,5;0;0;;;;;37;3,82;11,5;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;0;0;0;0;3,8;7,6;7,6;0;3,8;3,8;3,8;7,6;7,6;15,2;3,9;3,9;3,9;3,9;7,7;7,7;11,5;3,8;11,3;11,3;11,3;;;;;38;3,82;7,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Todate;22,9;22,9;22,9;22,9;26,7;30,6;30,6;30,6;34,4;34,4;34,4;38,2;38,2;45,8;49,7;49,7;49,7;49,7;53,5;53,5;57,3;61,1;68,6;68,6;68,6;;;;;39;3,70;7,4;C;C;C;C;C;C;C;C;C;;;;;;;;;;
Dondi ;Ha. Day;0;0;0;0;3,8;3,9;0;0;0;3,8;3,8;0;0;3,8;0;0;7,6;3,9;3,8;0;0;3,8;0;7,6;3,7;;;;;40;1,83;9,2;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;Ha. Week;0;0;0;0;3,8;7,7;7,7;0;0;3,8;3,8;3,8;3,8;7,6;0;0;7,6;11,5;15,3;15,3;15,3;3,8;3,8;11,4;15,1;;;;;41;0,72;1,4;C;C;IP;;;;;;;;;;;;;;;;
;Ha. Todate;22,9;22,9;22,9;22,9;26,7;30,6;30,6;30,6;30,6;34,4;34,4;34,4;34,4;38,2;38,2;38,2;45,8;49,7;53,5;53,5;53,5;57,3;57,3;64,9;68,6;;;;;;103,8;111,6;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;0;3,8;3,8;0;0;3,8;0;0;0;0;0;0;0;0;3,8;0;3,8;3,8;0;3,7;1,9;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ha. Week;0;3,8;7,6;7,6;7,6;11,4;11,4;0;0;0;0;0;0;0;3,8;3,8;7,6;11,4;11,4;15,1;17;0;0;0;0;;;;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;3,8;7,6;11,5;11,5;11,5;15,3;15,3;15,3;15,3;15,3;15,3;15,3;15,3;15,3;19,1;19,1;22,9;26,7;26,7;30,4;32,3;32,3;32,3;32,3;39,9;;;;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;P- Ploughing;;;;FF- Four Foot;;;;;;;DC- Drain Cut;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;DC;H1;H2;ID;FF;CC;MW;SL;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,3;2,6;C;C;;;;;;;;;;;;;;;;;
Lot 24 ( Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2,8;5,6;C;C;C;C;C;C;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4,5;11,2;C;C;C;C;C;;;;;;;;;;;;;;
August / September;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4,5;*;C;C;*;C;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4,4;8,8;C;C;;;;;;;;;;;;;;;;;
Activities;;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;;6;4,5;9,0;IP;IP;;;;;;;;;;;;C;Complete;;;;
Sleep Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;1,3;2,8;4,5;4,5;4,4;0;0;;7;4,5;9,0;;;;;;;;;;;;;;IP;In Progress;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;0;1,3;4,1;8,6;13,1;17,5;17,5;17,5;;8;4,5;9,0;;;;;;;;;;;;;;EC;Estate Complete;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;71,2;72,5;75,3;79,8;84,3;88,7;88,7;88,7;;9;4,5;8,9;;;;;;;;;;;;;;;;;;;
Rake Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;1,3;2,8;4,5;4,5;4,4;0;0;;10;4,6;9,1;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;0;1,3;4,1;8,6;13,1;17,5;17,5;17,5;;11;4,5;9,0;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;71,2;72,5;75,3;79,8;84,3;88,7;88,7;88,7;;12;4,3;8,7;;;;;;;;;;;;;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;4,2;8,4;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;4,2;8,4;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;15;3,9;7,8;;;;;;;;;;;;;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;3,9;7,8;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;4,5;9,0;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;18;4,2;8,4;;;;;;;;;;;;;;;;;;;
Plough;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;7,3;4,5;;19;4,3;8,7;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;1,9;0;0;0;0;0;9,2;13,7;;20;3,5;7,1;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;70,5;70,5;70,5;70,5;70,5;70,5;77,8;82,3;;21;4,0;7,9;;;;;;;;;;;;;;;;;;;
Drain Cut 10*32;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;2,8;4,5;;22;4,8;9,5;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;1,9;0;0;0;0;0;4,7;9,2;;23;2,9;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;70,5;70,5;70,5;70,5;70,5;70,5;73,3;77,8;;24;2,4;*;;;;;;;;;;;;;;;;;;;
Harrow 1;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2,8;;25;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;9,5;0;0;0;0;0;0;12,3;;26;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;70,5;70,5;70,5;70,5;70,5;70,5;70,5;73,3;;27;4,7;*;;;;;;;;;;;;;;;;;;;
Harrow 2;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;28;4,7;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;11,3;0;0;0;0;0;0;11,3;;29;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;68,6;68,6;68,6;68,6;68,6;68,6;68,6;68,6;;30;4,8;*;;;;;;;;;;;;;;;;;;;
Dondi ;Ha. Day;;;;;;;;;;;;;;;;;;;;;3,7;0;0;0;0;0;0;0;;31;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;15,1;0;0;0;0;0;0;15,1;;32;4,7;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;68,6;68,6;68,6;68,6;68,6;68,6;68,6;68,6;;33;3,5;*;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;2,8;4,5;;;137,3;174,0;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;2,8;7,3;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;39,9;39,9;39,9;39,9;39,9;39,9;42,7;50;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;P- Ploughing;;;;FF- Four Foot;;;;;;;DC- Drain Cut;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;DC;H1;H2;ID;FF;CC;MW;SL;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,3;2,6;C;C;;;;;;;;;;;;;;;;;
Lot 24 ( Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2,8;5,6;C;C;C;C;C;C;C;C;C;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4,5;11,2;C;C;C;C;C;C;C;C;C;;;;;;;;;;
September/ October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4,5;*;C;C;*;C;C;C;C;C;C;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4,4;8,8;C;C;IP;C;C;C;;;;;;;;;;;;;
Activities;;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;;6;4,5;9,0;C;C;IP;C;IP;;;;;;;;;C;Complete;;;;
Sleep Canes;Ha. Day;9;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;4,5;9,0;C;C;IP;IP;;;;;;;;;;IP;In Progress;;;;
;Ha. Week;9;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4,5;9,0;C;IP;;;;;;;;;;;;EC;Estate Complete;;;;
;Ha. Todate;97,7;102,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;4,5;8,9;IP;;;;;;;;;;;;;;;;;;
Rake Canes;Ha. Day;4,5;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4,6;9,1;;;;;;;;;;;;;;;;;;;
;Ha. Week;4,5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;4,5;9,0;;;;;;;;;;;;;;;;;;;
;Ha. Todate;93,2;97,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;4,3;8,7;;;;;;;;;;;;;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;4,2;8,4;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;4,2;8,4;;;;;;;;;;;;;;;;;;;
;Ha. Todate;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3,9;7,8;;;;;;;;;;;;;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;3,9;7,8;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;4,5;9,0;;;;;;;;;;;;;;;;;;;
;Ha. Todate;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;4,2;8,4;;;;;;;;;;;;;;;;;;;
Plough;Ha. Day;4,4;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;4,3;8,7;;;;;;;;;;;;;;;;;;;
;Ha. Week;4,4;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3,5;7,1;;;;;;;;;;;;;;;;;;;
;Ha. Todate;86,7;91,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;4,0;7,9;;;;;;;;;;;;;;;;;;;
Drain Cut 10*32;Ha. Day;4,5;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;4,8;9,5;;;;;;;;;;;;;;;;;;;
;Ha. Week;4,5;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;2,9;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;82,3;86,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;2,4;*;;;;;;;;;;;;;;;;;;;
Harrow 1;Ha. Day;9;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;9;13,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;82,3;86,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;4,7;*;;;;;;;;;;;;;;;;;;;
Harrow 2;Ha. Day;7,3;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;4,7;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;7,3;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;93,9;98,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;4,8;*;;;;;;;;;;;;;;;;;;;
Dondi ;Ha. Day;7,3;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;4,8;*;;;;;;;;;;;;;;;;;;;
;Ha. Week;7,3;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;4,7;*;;;;;;;;;;;;;;;;;;;
;Ha. Todate;93,9;100,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;3,5;*;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137,3;174,0;;;;;;;;;;;;;;;;;;;
;Ha. Week;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;P- Ploughing;;;;FF- Four Foot;;;;;;;DC- Drain Cut;;;;;;;;;;
