Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;29,2;29,2;29,8;32,6;32,6;32,6;32,6;32,6;32,6;34;36,4;38,2;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;;30;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
Drain Cut 10*32;Ha. Day;0;0;0;0;0;0;2,7;1,8;2,4;1,4;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;31;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;0;0;0;0;0;2,7;1,8;4,2;5,6;8;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;32;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;25,7;25,7;25,7;25,7;25,7;25,7;28,4;30,2;32,6;34;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;36,4;;33;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 1;Ha. Day;0;5,2;6,1;6,5;0;6,7;0;0;2,7;1,8;2,4;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;34;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;5,2;11,3;17,8;0;24,5;24,5;0;2,7;4,5;6,9;6,9;7,2;7,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;35;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;1,2;6,4;12,5;19;19;25,7;25,7;25,7;28,4;30,2;32,6;32,6;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;;36;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 2;Ha. Day;;;;;;2,2;7,4;0,6;5,2;5,4;4,9;1,1;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;37;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;2,2;9,6;0,6;5,8;11,2;16,1;17,2;19,5;19,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;38;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;2,2;9,6;10,2;15,4;20,8;25,7;26,8;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;;39;3,7;7,4;C;C;;;;;;;;C;C;C;;;;;;;
Dondi ;Ha. Day;;;;;;;;;;2,2;0;0,3;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;40;1,8;9,2;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;2,2;0;2,5;3,1;3,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;41;0,7;1,4;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;;;2,2;2,2;2,8;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;;;103,8;111,6;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;;;;;;;;;;;;4;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;4;7,6;7,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;4;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;7,6;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P- Ploughing;;;;FF- Four Foot;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 22 (103.8 Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
May;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;DC;H1;H2;ID;FF;CC;MW;SL;;;;;;;
